date,opponent,at85,minute,player,final,q,home,deficit,state_minute,state_score,remaining,final_whistle
2023-09-15,Bayern Munich,1-1,93:46,Exequiel Alejandro Palacios,2-2,0.14551132695960833,False,1,85.35,1-2,13.050000000000011,98.4
2024-03-30,Hoffenheim,0-1,87:24,Robert Andrich,2-1,0.16727818921568072,True,1,85.0,0-1,11.183333333333337,96.18333333333334
2024-04-21,Borussia Dortmund,0-1,96:52,Josip Stanišić,1-1,0.15123013489280768,False,1,85.0,0-1,13.799999999999997,98.8
2024-04-27,VfB Stuttgart,1-2,95:59,Robert Andrich,2-2,0.18423259682607374,True,1,85.0,1-2,12.733333333333334,97.73333333333333
