opponent,elo,p_win,p_draw,p_advance
AR,2115,0.01750517348558367,0.05193136785161987,0.06943654133720353
EG,1696,0.21948608163269434,0.23387964065184141,0.45336572228453575
CH,1891,0.07323235933164607,0.13680607298891234,0.2100384323205584
EN,2024,0.03163021743873573,0.07927429661082744,0.11090451404956317
ES,2157,0.013295191161627695,0.04232272242262377,0.055617913584251465
