code,elo,last_match,cutoff
CV,1474,2023-10-17,2023-11-15
CM,1625,2023-10-16,2023-11-15
AO,1388,2023-10-17,2023-11-15
LY,1331,2023-11-11,2023-11-15
SZ,1286,2018-03-27,2023-11-15
MU,1031,2023-09-02,2023-11-15
