season,wins,draws,losses,points
319,17,10,7,61
320,19,7,8,64
321,18,8,8,62
322,16,5,13,53
323,17,9,8,60
324,14,10,10,52
325,11,12,11,45
326,9,9,16,36
327,17,8,9,59
328,20,7,7,67
329,18,8,8,62
330,19,10,5,67
331,16,10,8,58
332,16,4,14,52
333,15,10,9,55
334,16,7,11,55
335,12,10,12,46
336,18,4,12,58
337,19,8,7,65
338,18,7,9,61
339,15,10,9,55
340,13,6,15,45
341,16,6,12,54
342,20,3,11,63
343,17,7,10,58
344,19,7,8,64
345,13,8,13,47
346,17,8,9,59
347,12,8,14,44
348,17,12,5,63
349,16,7,11,55
350,12,8,14,44
351,15,3,16,48
352,18,6,10,60
353,21,3,10,66
354,21,2,11,65
355,9,10,15,37
356,14,8,12,50
357,18,3,13,57
358,15,8,11,53
359,16,9,9,57
360,12,8,14,44
361,16,2,16,50
362,17,9,8,60
363,16,10,8,58
364,15,9,10,54
365,15,9,10,54
366,16,7,11,55
367,20,5,9,65
368,15,5,14,50
369,16,7,11,55
370,20,7,7,67
371,18,6,10,60
372,11,9,14,42
373,12,10,12,46
374,14,9,11,51
375,21,5,8,68
376,11,9,14,42
377,19,6,9,63
378,15,2,17,47
379,13,7,14,46
380,14,10,10,52
381,20,6,8,66
382,11,9,14,42
383,19,7,8,64
384,17,5,12,56
385,17,11,6,62
386,12,7,15,43
387,19,8,7,65
388,13,9,12,48
389,9,13,12,40
390,15,11,8,56
391,22,2,10,68
392,16,5,13,53
393,18,7,9,61
394,17,6,11,57
395,13,7,14,46
396,19,1,14,58
397,14,9,11,51
398,19,5,10,62
399,18,7,9,61
400,16,4,14,52
401,16,9,9,57
402,14,10,10,52
403,17,7,10,58
404,18,4,12,58
405,19,7,8,64
406,14,10,10,52
407,12,9,13,45
408,15,9,10,54
409,17,8,9,59
410,16,5,13,53
411,14,8,12,50
412,14,7,13,49
413,17,7,10,58
414,19,5,10,62
415,15,7,12,52
416,12,7,15,43
417,21,7,6,70
418,14,5,15,47
419,14,5,15,47
420,15,7,12,52
421,17,8,9,59
422,16,8,10,56
423,17,11,6,62
424,14,13,7,55
425,14,10,10,52
426,17,9,8,60
427,18,6,10,60
428,18,8,8,62
429,16,6,12,54
430,20,3,11,63
431,12,7,15,43
432,21,5,8,68
433,18,6,10,60
434,17,7,10,58
435,15,11,8,56
436,20,7,7,67
437,19,3,12,60
438,17,6,11,57
439,10,12,12,42
440,14,8,12,50
441,16,6,12,54
442,18,8,8,62
443,13,10,11,49
444,9,9,16,36
445,13,9,12,48
446,16,9,9,57
447,14,11,9,53
448,14,10,10,52
449,15,10,9,55
450,11,5,18,38
451,22,2,10,68
452,20,5,9,65
453,18,8,8,62
454,13,6,15,45
455,18,7,9,61
456,20,3,11,63
457,13,6,15,45
458,18,8,8,62
459,14,3,17,45
460,19,8,7,65
461,15,6,13,51
462,17,10,7,61
463,18,6,10,60
464,20,3,11,63
465,19,5,10,62
466,17,8,9,59
467,15,8,11,53
468,12,8,14,44
469,17,3,14,54
470,23,4,7,73
471,14,10,10,52
472,14,7,13,49
473,16,9,9,57
474,21,6,7,69
475,19,6,9,63
476,13,8,13,47
477,14,4,16,46
478,9,12,13,39
479,15,1,18,46
480,15,6,13,51
481,12,8,14,44
482,19,8,7,65
483,12,9,13,45
484,17,4,13,55
485,16,8,10,56
486,16,7,11,55
487,21,3,10,66
488,15,8,11,53
489,18,5,11,59
490,20,4,10,64
491,21,0,13,63
492,21,3,10,66
493,19,7,8,64
494,15,6,13,51
495,14,7,13,49
496,13,8,13,47
497,13,13,8,52
498,18,8,8,62
499,15,6,13,51
500,16,6,12,54
501,14,9,11,51
502,21,5,8,68
503,20,10,4,70
504,15,5,14,50
505,14,10,10,52
506,13,5,16,44
