season,wins,draws,losses,points
1359,19,5,10,62
1360,18,7,9,61
1361,16,5,13,53
1362,12,10,12,46
1363,20,6,8,66
1364,14,5,15,47
1365,16,4,14,52
1366,12,7,15,43
1367,18,7,9,61
1368,17,10,7,61
1369,19,5,10,62
1370,20,5,9,65
1371,15,9,10,54
1372,14,8,12,50
1373,21,5,8,68
1374,14,7,13,49
1375,18,6,10,60
1376,16,9,9,57
1377,17,9,8,60
1378,18,5,11,59
1379,16,5,13,53
1380,16,5,13,53
1381,18,6,10,60
1382,15,9,10,54
1383,14,8,12,50
1384,15,3,16,48
1385,13,10,11,49
1386,14,6,14,48
1387,15,5,14,50
1388,18,8,8,62
1389,15,10,9,55
1390,18,3,13,57
1391,17,9,8,60
1392,14,9,11,51
1393,15,5,14,50
1394,14,8,12,50
1395,17,6,11,57
1396,15,8,11,53
1397,16,8,10,56
1398,16,9,9,57
1399,17,6,11,57
1400,18,7,9,61
1401,15,7,12,52
1402,13,7,14,46
1403,20,8,6,68
1404,13,8,13,47
1405,9,11,14,38
1406,16,5,13,53
1407,16,9,9,57
1408,15,10,9,55
1409,18,6,10,60
1410,17,7,10,58
1411,21,4,9,67
1412,20,9,5,69
1413,22,7,5,73
1414,14,7,13,49
1415,18,8,8,62
1416,20,6,8,66
1417,17,7,10,58
1418,17,7,10,58
1419,18,7,9,61
1420,17,5,12,56
1421,15,7,12,52
1422,12,5,17,41
1423,18,8,8,62
1424,16,8,10,56
1425,16,7,11,55
1426,19,3,12,60
1427,19,7,8,64
1428,17,8,9,59
1429,16,10,8,58
1430,19,8,7,65
1431,17,9,8,60
1432,23,7,4,76
1433,13,11,10,50
1434,15,6,13,51
1435,18,8,8,62
1436,18,5,11,59
1437,23,6,5,75
1438,16,6,12,54
1439,11,12,11,45
1440,10,8,16,38
1441,16,10,8,58
1442,16,9,9,57
1443,17,8,9,59
1444,18,4,12,58
1445,14,9,11,51
1446,17,11,6,62
1447,15,9,10,54
1448,16,9,9,57
1449,15,9,10,54
1450,17,11,6,62
1451,19,8,7,65
1452,18,7,9,61
1453,16,12,6,60
1454,21,7,6,70
1455,15,9,10,54
1456,17,4,13,55
1457,16,8,10,56
1458,15,10,9,55
1459,25,3,6,78
1460,19,4,11,61
1461,17,8,9,59
1462,10,12,12,42
1463,9,17,8,44
1464,18,5,11,59
1465,17,7,10,58
1466,13,8,13,47
1467,18,5,11,59
1468,19,2,13,59
1469,15,4,15,49
1470,19,6,9,63
1471,18,6,10,60
1472,18,5,11,59
1473,14,11,9,53
1474,13,4,17,43
1475,12,7,15,43
1476,18,5,11,59
1477,20,8,6,68
1478,15,8,11,53
1479,17,7,10,58
1480,13,12,9,51
1481,17,7,10,58
1482,13,8,13,47
1483,13,8,13,47
1484,17,3,14,54
1485,17,7,10,58
1486,15,8,11,53
1487,10,9,15,39
1488,15,8,11,53
1489,19,5,10,62
1490,20,7,7,67
1491,19,6,9,63
1492,18,6,10,60
1493,8,9,17,33
1494,18,8,8,62
1495,17,7,10,58
1496,20,5,9,65
1497,15,8,11,53
1498,17,7,10,58
1499,18,6,10,60
1500,11,14,9,47
1501,15,10,9,55
1502,15,10,9,55
1503,18,3,13,57
1504,13,10,11,49
1505,14,7,13,49
1506,18,7,9,61
1507,19,7,8,64
1508,17,6,11,57
1509,14,5,15,47
1510,12,2,20,38
1511,13,5,16,44
1512,17,8,9,59
1513,16,7,11,55
1514,16,4,14,52
1515,17,12,5,63
1516,23,6,5,75
1517,18,4,12,58
1518,17,6,11,57
1519,20,7,7,67
1520,13,6,15,45
1521,14,9,11,51
1522,17,9,8,60
1523,18,5,11,59
1524,17,5,12,56
1525,16,7,11,55
1526,16,10,8,58
1527,15,10,9,55
1528,15,6,13,51
1529,11,10,13,43
1530,19,8,7,65
1531,13,10,11,49
1532,16,7,11,55
1533,15,10,9,55
1534,9,14,11,41
1535,21,3,10,66
1536,18,4,12,58
1537,15,6,13,51
1538,14,11,9,53
1539,14,6,14,48
1540,15,10,9,55
1541,10,12,12,42
1542,15,4,15,49
1543,20,6,8,66
1544,19,2,13,59
1545,15,5,14,50
1546,17,8,9,59
1547,11,9,14,42
1548,20,6,8,66
1549,16,7,11,55
1550,18,4,12,58
1551,20,1,13,61
1552,22,7,5,73
1553,15,10,9,55
1554,15,12,7,57
1555,14,9,11,51
1556,20,7,7,67
1557,15,8,11,53
1558,16,9,9,57
1559,17,7,10,58
1560,15,9,10,54
1561,20,3,11,63
1562,13,8,13,47
1563,17,8,9,59
1564,16,5,13,53
1565,19,8,7,65
1566,20,4,10,64
1567,22,5,7,71
1568,20,6,8,66
1569,15,12,7,57
1570,16,7,11,55
1571,15,14,5,59
1572,17,8,9,59
1573,21,8,5,71
1574,14,7,13,49
1575,19,6,9,63
1576,18,5,11,59
1577,23,7,4,76
1578,16,6,12,54
1579,15,8,11,53
1580,15,8,11,53
1581,20,5,9,65
1582,17,8,9,59
1583,14,6,14,48
1584,16,10,8,58
1585,18,9,7,63
1586,18,5,11,59
1587,13,9,12,48
1588,14,7,13,49
1589,14,14,6,56
1590,12,6,16,42
1591,18,5,11,59
1592,17,3,14,54
1593,13,6,15,45
1594,19,6,9,63
1595,18,9,7,63
1596,21,5,8,68
1597,15,8,11,53
1598,15,7,12,52
1599,20,7,7,67
1600,16,7,11,55
1601,17,6,11,57
1602,15,7,12,52
1603,17,8,9,59
1604,14,9,11,51
1605,13,11,10,50
1606,16,8,10,56
1607,16,5,13,53
1608,19,10,5,67
1609,13,6,15,45
1610,19,5,10,62
1611,13,7,14,46
1612,15,10,9,55
1613,16,10,8,58
1614,16,7,11,55
1615,16,8,10,56
1616,24,4,6,76
1617,16,7,11,55
1618,18,2,14,56
1619,18,5,11,59
1620,13,7,14,46
1621,19,10,5,67
1622,15,8,11,53
1623,13,8,13,47
1624,13,7,14,46
1625,16,8,10,56
1626,16,9,9,57
1627,12,10,12,46
1628,19,7,8,64
1629,15,13,6,58
1630,19,5,10,62
1631,20,2,12,62
1632,17,5,12,56
1633,15,10,9,55
1634,20,7,7,67
1635,17,7,10,58
1636,16,6,12,54
1637,16,9,9,57
1638,14,7,13,49
1639,16,7,11,55
1640,11,10,13,43
1641,14,6,14,48
1642,19,3,12,60
1643,17,6,11,57
1644,13,10,11,49
1645,21,6,7,69
1646,15,6,13,51
1647,16,8,10,56
1648,12,9,13,45
1649,18,11,5,65
1650,12,8,14,44
1651,15,13,6,58
1652,20,3,11,63
1653,21,4,9,67
1654,13,11,10,50
1655,14,10,10,52
1656,13,3,18,42
1657,14,8,12,50
1658,14,10,10,52
1659,21,3,10,66
1660,15,9,10,54
1661,15,6,13,51
1662,14,12,8,54
1663,18,5,11,59
1664,13,11,10,50
1665,17,6,11,57
1666,16,4,14,52
1667,21,5,8,68
1668,17,6,11,57
1669,16,12,6,60
1670,12,13,9,49
1671,17,9,8,60
1672,13,11,10,50
1673,21,5,8,68
1674,15,7,12,52
1675,17,7,10,58
1676,15,5,14,50
1677,14,6,14,48
1678,11,9,14,42
1679,16,9,9,57
1680,13,11,10,50
1681,16,7,11,55
1682,12,8,14,44
1683,15,7,12,52
1684,13,6,15,45
1685,17,3,14,54
1686,21,4,9,67
1687,13,9,12,48
1688,15,8,11,53
1689,16,7,11,55
1690,16,7,11,55
1691,18,7,9,61
1692,11,5,18,38
1693,18,7,9,61
1694,17,3,14,54
1695,17,10,7,61
1696,15,8,11,53
1697,18,6,10,60
1698,16,8,10,56
1699,18,3,13,57
1700,15,8,11,53
1701,8,8,18,32
1702,15,8,11,53
1703,16,7,11,55
1704,19,4,11,61
1705,17,8,9,59
1706,14,4,16,46
1707,17,9,8,60
1708,17,5,12,56
1709,13,6,15,45
1710,14,5,15,47
1711,16,9,9,57
1712,15,8,11,53
1713,20,8,6,68
1714,15,11,8,56
1715,16,8,10,56
1716,15,10,9,55
1717,16,7,11,55
1718,20,5,9,65
1719,14,10,10,52
1720,18,4,12,58
1721,15,7,12,52
1722,13,9,12,48
1723,17,10,7,61
1724,10,8,16,38
1725,17,7,10,58
1726,23,6,5,75
1727,16,10,8,58
1728,14,9,11,51
1729,12,10,12,46
1730,14,8,12,50
1731,17,5,12,56
1732,19,8,7,65
1733,16,8,10,56
1734,17,4,13,55
1735,16,7,11,55
1736,11,9,14,42
1737,13,11,10,50
1738,17,11,6,62
1739,15,9,10,54
1740,19,5,10,62
1741,15,9,10,54
1742,21,3,10,66
1743,20,8,6,68
1744,14,7,13,49
1745,15,4,15,49
1746,14,11,9,53
1747,14,9,11,51
1748,17,8,9,59
1749,18,9,7,63
1750,17,5,12,56
1751,14,8,12,50
1752,17,6,11,57
1753,13,11,10,50
1754,20,8,6,68
1755,19,8,7,65
1756,17,4,13,55
1757,21,8,5,71
1758,11,11,12,44
1759,19,7,8,64
1760,13,6,15,45
1761,13,11,10,50
1762,19,7,8,64
1763,12,10,12,46
1764,16,6,12,54
1765,15,4,15,49
1766,14,12,8,54
1767,14,7,13,49
1768,16,7,11,55
1769,17,7,10,58
1770,21,5,8,68
1771,15,7,12,52
1772,11,9,14,42
1773,15,6,13,51
1774,19,3,12,60
1775,10,12,12,42
1776,15,9,10,54
1777,17,5,12,56
1778,17,8,9,59
1779,14,9,11,51
1780,15,10,9,55
1781,15,6,13,51
1782,14,7,13,49
1783,16,8,10,56
1784,15,8,11,53
1785,17,8,9,59
1786,16,6,12,54
1787,15,7,12,52
1788,12,9,13,45
1789,16,6,12,54
1790,18,7,9,61
1791,13,9,12,48
1792,13,9,12,48
1793,20,5,9,65
1794,13,8,13,47
1795,18,3,13,57
1796,17,5,12,56
1797,17,9,8,60
1798,18,5,11,59
1799,19,3,12,60
1800,19,5,10,62
1801,21,6,7,69
1802,21,5,8,68
1803,14,8,12,50
1804,16,7,11,55
1805,11,9,14,42
1806,12,11,11,47
1807,13,5,16,44
1808,11,7,16,40
1809,15,3,16,48
1810,16,10,8,58
1811,15,7,12,52
1812,14,7,13,49
1813,14,8,12,50
1814,14,11,9,53
1815,13,8,13,47
1816,20,4,10,64
1817,14,8,12,50
1818,17,10,7,61
1819,14,11,9,53
1820,13,6,15,45
1821,17,3,14,54
1822,20,9,5,69
1823,17,6,11,57
1824,19,5,10,62
1825,15,7,12,52
1826,13,9,12,48
1827,16,5,13,53
1828,20,5,9,65
1829,17,4,13,55
1830,17,3,14,54
1831,16,9,9,57
1832,18,5,11,59
1833,8,11,15,35
1834,12,8,14,44
1835,21,5,8,68
1836,18,6,10,60
1837,11,10,13,43
1838,16,7,11,55
1839,15,5,14,50
1840,16,9,9,57
1841,17,7,10,58
1842,17,9,8,60
1843,16,4,14,52
1844,22,5,7,71
1845,19,5,10,62
1846,12,11,11,47
1847,17,5,12,56
1848,17,11,6,62
1849,9,9,16,36
1850,16,4,14,52
1851,16,5,13,53
1852,12,6,16,42
1853,12,9,13,45
1854,18,5,11,59
1855,16,9,9,57
1856,14,5,15,47
1857,16,9,9,57
1858,23,3,8,72
1859,18,6,10,60
1860,25,4,5,79
1861,15,8,11,53
1862,17,10,7,61
1863,15,6,13,51
1864,18,7,9,61
1865,19,5,10,62
1866,13,10,11,49
1867,8,9,17,33
1868,15,8,11,53
1869,15,9,10,54
1870,20,7,7,67
1871,9,10,15,37
1872,22,2,10,68
1873,16,8,10,56
1874,20,5,9,65
1875,18,7,9,61
1876,20,3,11,63
1877,14,8,12,50
1878,20,7,7,67
1879,11,10,13,43
1880,17,5,12,56
1881,14,7,13,49
1882,16,7,11,55
1883,15,4,15,49
1884,23,4,7,73
1885,15,5,14,50
1886,17,9,8,60
1887,17,9,8,60
1888,16,12,6,60
1889,14,10,10,52
1890,16,7,11,55
1891,15,11,8,56
1892,14,6,14,48
1893,16,9,9,57
1894,18,6,10,60
1895,19,5,10,62
1896,13,6,15,45
1897,16,6,12,54
1898,16,10,8,58
1899,10,6,18,36
1900,16,8,10,56
1901,15,2,17,47
1902,11,11,12,44
1903,23,5,6,74
1904,20,5,9,65
1905,15,8,11,53
1906,12,10,12,46
1907,19,5,10,62
1908,19,2,13,59
1909,13,7,14,46
1910,14,7,13,49
1911,16,9,9,57
1912,21,4,9,67
1913,15,8,11,53
1914,15,4,15,49
1915,18,7,9,61
1916,20,4,10,64
1917,19,3,12,60
1918,16,9,9,57
1919,19,6,9,63
1920,14,6,14,48
1921,16,6,12,54
1922,18,11,5,65
1923,15,8,11,53
1924,14,10,10,52
1925,19,8,7,65
1926,21,6,7,69
1927,16,6,12,54
1928,17,7,10,58
1929,16,10,8,58
1930,17,7,10,58
1931,12,9,13,45
1932,16,7,11,55
1933,15,9,10,54
1934,24,4,6,76
1935,16,3,15,51
1936,18,4,12,58
1937,15,7,12,52
1938,14,7,13,49
1939,18,11,5,65
1940,16,5,13,53
1941,12,4,18,40
1942,16,6,12,54
1943,12,12,10,48
1944,17,7,10,58
1945,18,5,11,59
1946,15,8,11,53
1947,14,7,13,49
1948,12,7,15,43
1949,11,10,13,43
1950,19,3,12,60
1951,21,4,9,67
1952,20,5,9,65
1953,16,7,11,55
1954,15,3,16,48
1955,14,11,9,53
1956,17,5,12,56
1957,15,10,9,55
1958,14,10,10,52
1959,20,6,8,66
1960,18,3,13,57
1961,14,6,14,48
1962,19,6,9,63
1963,14,8,12,50
1964,16,8,10,56
1965,19,8,7,65
1966,14,8,12,50
1967,16,7,11,55
1968,19,3,12,60
1969,20,7,7,67
1970,22,5,7,71
1971,16,4,14,52
1972,16,12,6,60
1973,16,10,8,58
1974,18,7,9,61
1975,11,12,11,45
1976,16,7,11,55
1977,15,10,9,55
1978,19,3,12,60
1979,19,7,8,64
1980,15,11,8,56
1981,12,11,11,47
1982,14,10,10,52
1983,17,7,10,58
1984,16,8,10,56
1985,18,7,9,61
1986,18,4,12,58
1987,18,8,8,62
1988,17,5,12,56
1989,18,8,8,62
1990,16,11,7,59
1991,21,6,7,69
1992,18,8,8,62
1993,16,12,6,60
1994,17,11,6,62
1995,17,8,9,59
1996,21,2,11,65
1997,22,3,9,69
1998,15,7,12,52
1999,16,5,13,53
2000,11,14,9,47
2001,10,8,16,38
2002,15,4,15,49
2003,19,8,7,65
2004,20,6,8,66
2005,20,7,7,67
2006,14,7,13,49
2007,19,10,5,67
2008,18,7,9,61
2009,21,4,9,67
2010,13,9,12,48
2011,21,6,7,69
2012,12,9,13,45
2013,16,7,11,55
2014,15,10,9,55
2015,20,6,8,66
2016,16,7,11,55
2017,15,8,11,53
2018,17,8,9,59
2019,18,5,11,59
2020,22,5,7,71
2021,15,12,7,57
2022,15,9,10,54
2023,16,5,13,53
2024,15,7,12,52
2025,18,8,8,62
2026,19,4,11,61
2027,18,7,9,61
2028,17,7,10,58
2029,12,10,12,46
2030,8,15,11,39
2031,15,10,9,55
2032,15,4,15,49
2033,16,6,12,54
2034,18,5,11,59
2035,13,11,10,50
2036,18,5,11,59
2037,14,7,13,49
2038,15,7,12,52
2039,16,9,9,57
2040,13,7,14,46
2041,15,6,13,51
2042,11,7,16,40
2043,15,9,10,54
2044,18,9,7,63
2045,19,7,8,64
2046,20,4,10,64
2047,10,12,12,42
2048,20,4,10,64
2049,16,10,8,58
2050,15,6,13,51
2051,22,2,10,68
2052,17,7,10,58
2053,16,6,12,54
2054,15,9,10,54
2055,15,7,12,52
2056,12,10,12,46
2057,16,7,11,55
2058,17,3,14,54
2059,17,6,11,57
2060,16,5,13,53
2061,13,3,18,42
2062,17,5,12,56
2063,14,6,14,48
2064,17,11,6,62
2065,19,3,12,60
2066,12,10,12,46
2067,17,9,8,60
2068,18,6,10,60
2069,13,7,14,46
2070,16,3,15,51
2071,21,4,9,67
2072,16,8,10,56
2073,17,8,9,59
2074,19,5,10,62
2075,18,7,9,61
2076,17,6,11,57
2077,11,6,17,39
2078,14,8,12,50
2079,17,8,9,59
2080,16,5,13,53
2081,12,7,15,43
2082,16,6,12,54
2083,13,6,15,45
2084,17,8,9,59
2085,19,7,8,64
2086,18,10,6,64
2087,17,6,11,57
2088,17,7,10,58
2089,17,2,15,53
2090,15,8,11,53
2091,11,13,10,46
2092,16,6,12,54
2093,18,7,9,61
2094,20,5,9,65
2095,15,6,13,51
2096,17,6,11,57
2097,15,7,12,52
2098,12,10,12,46
2099,14,9,11,51
2100,14,5,15,47
2101,16,5,13,53
2102,14,9,11,51
2103,10,4,20,34
2104,17,5,12,56
2105,21,3,10,66
2106,17,5,12,56
2107,16,5,13,53
2108,17,5,12,56
2109,12,11,11,47
2110,17,7,10,58
2111,17,7,10,58
2112,18,5,11,59
2113,8,13,13,37
2114,18,5,11,59
2115,16,9,9,57
2116,14,8,12,50
2117,15,9,10,54
2118,18,8,8,62
2119,16,6,12,54
2120,16,6,12,54
2121,15,6,13,51
2122,21,6,7,69
2123,16,4,14,52
2124,17,5,12,56
2125,18,5,11,59
2126,17,11,6,62
2127,10,10,14,40
2128,15,9,10,54
2129,11,11,12,44
2130,17,10,7,61
2131,11,11,12,44
2132,17,9,8,60
2133,21,4,9,67
2134,15,6,13,51
2135,20,5,9,65
2136,14,7,13,49
2137,18,5,11,59
2138,15,5,14,50
2139,11,9,14,42
2140,15,8,11,53
2141,15,8,11,53
2142,18,3,13,57
2143,18,7,9,61
2144,18,7,9,61
2145,17,4,13,55
2146,16,6,12,54
2147,15,7,12,52
2148,21,4,9,67
2149,13,14,7,53
2150,10,9,15,39
2151,18,5,11,59
2152,16,9,9,57
2153,8,10,16,34
2154,16,12,6,60
2155,15,5,14,50
2156,13,7,14,46
2157,16,4,14,52
2158,17,7,10,58
2159,17,6,11,57
2160,16,9,9,57
2161,17,7,10,58
2162,15,9,10,54
2163,13,9,12,48
2164,14,8,12,50
2165,12,6,16,42
2166,13,6,15,45
2167,17,6,11,57
2168,13,10,11,49
2169,14,7,13,49
2170,18,6,10,60
2171,16,5,13,53
2172,22,5,7,71
2173,17,9,8,60
2174,14,7,13,49
2175,14,9,11,51
2176,12,11,11,47
2177,14,8,12,50
2178,14,9,11,51
2179,16,5,13,53
2180,17,8,9,59
2181,16,9,9,57
2182,13,9,12,48
2183,15,8,11,53
2184,14,9,11,51
2185,15,11,8,56
2186,14,7,13,49
2187,14,9,11,51
2188,14,5,15,47
2189,18,9,7,63
2190,20,8,6,68
2191,18,5,11,59
2192,18,9,7,63
2193,15,9,10,54
2194,15,6,13,51
2195,17,7,10,58
2196,18,10,6,64
2197,12,12,10,48
2198,15,7,12,52
2199,19,4,11,61
2200,16,4,14,52
2201,18,8,8,62
2202,17,6,11,57
2203,12,13,9,49
2204,17,5,12,56
2205,18,5,11,59
2206,16,4,14,52
2207,13,10,11,49
2208,17,9,8,60
2209,16,11,7,59
2210,15,7,12,52
2211,15,5,14,50
2212,15,8,11,53
2213,19,11,4,68
2214,16,8,10,56
2215,16,9,9,57
2216,15,6,13,51
2217,18,6,10,60
2218,23,3,8,72
2219,18,8,8,62
2220,16,9,9,57
2221,18,7,9,61
2222,7,15,12,36
2223,15,5,14,50
2224,18,8,8,62
2225,14,10,10,52
2226,16,6,12,54
2227,19,4,11,61
2228,17,6,11,57
2229,17,6,11,57
2230,14,6,14,48
2231,10,9,15,39
2232,17,6,11,57
2233,15,11,8,56
2234,16,7,11,55
2235,18,8,8,62
2236,17,7,10,58
2237,14,12,8,54
2238,18,4,12,58
2239,14,9,11,51
2240,16,9,9,57
2241,16,5,13,53
2242,18,9,7,63
2243,16,3,15,51
2244,16,10,8,58
2245,15,4,15,49
2246,19,5,10,62
2247,13,6,15,45
2248,17,10,7,61
2249,14,9,11,51
2250,24,1,9,73
2251,16,6,12,54
2252,16,5,13,53
2253,15,9,10,54
2254,19,7,8,64
2255,11,9,14,42
2256,16,7,11,55
2257,20,4,10,64
2258,18,6,10,60
2259,12,12,10,48
2260,19,3,12,60
2261,14,6,14,48
2262,14,7,13,49
2263,14,4,16,46
2264,16,10,8,58
2265,20,5,9,65
2266,17,8,9,59
2267,16,4,14,52
2268,18,6,10,60
2269,20,7,7,67
2270,14,7,13,49
2271,14,3,17,45
2272,19,9,6,66
2273,17,5,12,56
2274,20,4,10,64
2275,10,8,16,38
2276,12,9,13,45
2277,17,8,9,59
2278,15,9,10,54
2279,15,4,15,49
2280,13,10,11,49
2281,19,9,6,66
2282,22,9,3,75
2283,16,11,7,59
2284,13,12,9,51
2285,20,5,9,65
2286,16,7,11,55
2287,17,9,8,60
2288,14,10,10,52
2289,15,8,11,53
2290,17,7,10,58
2291,17,7,10,58
2292,17,5,12,56
2293,17,8,9,59
2294,22,8,4,74
2295,19,9,6,66
2296,15,10,9,55
2297,14,7,13,49
2298,16,7,11,55
2299,19,7,8,64
2300,11,12,11,45
2301,23,3,8,72
2302,14,7,13,49
2303,15,7,12,52
2304,16,5,13,53
2305,14,7,13,49
2306,13,7,14,46
2307,14,8,12,50
2308,16,7,11,55
2309,14,10,10,52
2310,10,9,15,39
2311,19,4,11,61
2312,17,4,13,55
2313,19,6,9,63
2314,16,9,9,57
2315,18,6,10,60
2316,13,9,12,48
2317,16,5,13,53
2318,18,5,11,59
2319,18,4,12,58
2320,17,6,11,57
2321,14,8,12,50
2322,14,9,11,51
2323,15,8,11,53
2324,15,8,11,53
2325,14,9,11,51
2326,20,4,10,64
2327,20,4,10,64
2328,14,7,13,49
2329,18,6,10,60
2330,17,7,10,58
2331,18,7,9,61
2332,15,10,9,55
2333,14,7,13,49
2334,16,8,10,56
2335,19,4,11,61
2336,21,6,7,69
2337,18,7,9,61
2338,16,6,12,54
2339,20,9,5,69
2340,22,7,5,73
2341,17,5,12,56
2342,17,9,8,60
2343,18,8,8,62
2344,13,7,14,46
2345,15,8,11,53
2346,15,10,9,55
2347,15,5,14,50
2348,16,6,12,54
2349,21,5,8,68
2350,16,7,11,55
2351,19,9,6,66
2352,15,6,13,51
2353,13,8,13,47
2354,15,8,11,53
2355,15,6,13,51
2356,15,5,14,50
2357,15,7,12,52
2358,17,8,9,59
2359,15,7,12,52
2360,14,5,15,47
2361,11,14,9,47
2362,13,8,13,47
2363,18,8,8,62
2364,15,9,10,54
2365,19,7,8,64
2366,20,3,11,63
2367,20,6,8,66
2368,16,8,10,56
2369,18,9,7,63
2370,15,8,11,53
2371,18,4,12,58
2372,16,9,9,57
2373,13,8,13,47
2374,17,8,9,59
2375,16,9,9,57
2376,21,5,8,68
2377,16,8,10,56
2378,17,4,13,55
2379,12,12,10,48
2380,14,11,9,53
2381,13,7,14,46
2382,20,4,10,64
2383,17,8,9,59
2384,9,9,16,36
2385,15,11,8,56
2386,16,7,11,55
2387,17,7,10,58
2388,16,6,12,54
2389,12,5,17,41
2390,16,8,10,56
2391,16,7,11,55
2392,14,7,13,49
2393,19,10,5,67
2394,14,6,14,48
2395,16,10,8,58
2396,14,6,14,48
2397,10,12,12,42
2398,19,6,9,63
2399,17,12,5,63
2400,13,4,17,43
2401,17,5,12,56
2402,18,6,10,60
2403,13,7,14,46
2404,14,10,10,52
2405,16,7,11,55
2406,18,7,9,61
2407,15,9,10,54
2408,19,5,10,62
2409,22,8,4,74
2410,15,9,10,54
2411,15,7,12,52
2412,17,5,12,56
2413,18,6,10,60
2414,16,10,8,58
2415,21,3,10,66
2416,21,5,8,68
2417,19,6,9,63
2418,16,9,9,57
2419,13,9,12,48
2420,17,9,8,60
2421,17,7,10,58
2422,16,7,11,55
2423,16,6,12,54
2424,12,10,12,46
2425,13,9,12,48
2426,17,5,12,56
2427,17,6,11,57
2428,14,8,12,50
2429,16,7,11,55
2430,17,6,11,57
2431,20,4,10,64
2432,16,5,13,53
2433,17,7,10,58
2434,16,5,13,53
2435,18,6,10,60
2436,21,9,4,72
2437,17,8,9,59
2438,22,6,6,72
2439,19,5,10,62
2440,17,5,12,56
2441,15,6,13,51
2442,13,7,14,46
2443,15,6,13,51
2444,15,9,10,54
2445,15,7,12,52
2446,19,2,13,59
2447,14,4,16,46
2448,15,11,8,56
2449,15,7,12,52
2450,18,6,10,60
2451,16,9,9,57
2452,18,7,9,61
2453,14,6,14,48
2454,16,6,12,54
2455,15,9,10,54
2456,15,12,7,57
2457,16,10,8,58
2458,12,9,13,45
2459,16,6,12,54
2460,15,7,12,52
2461,18,6,10,60
2462,16,4,14,52
2463,17,5,12,56
2464,18,9,7,63
2465,18,8,8,62
2466,18,6,10,60
2467,13,9,12,48
2468,18,8,8,62
2469,17,6,11,57
2470,15,11,8,56
2471,19,4,11,61
2472,17,7,10,58
2473,14,7,13,49
2474,20,4,10,64
2475,15,11,8,56
2476,20,6,8,66
2477,16,8,10,56
2478,10,8,16,38
2479,20,5,9,65
2480,21,4,9,67
2481,18,9,7,63
2482,14,11,9,53
2483,15,10,9,55
2484,16,6,12,54
2485,13,10,11,49
2486,25,0,9,75
2487,18,11,5,65
2488,13,10,11,49
2489,15,8,11,53
2490,10,12,12,42
2491,19,7,8,64
2492,14,9,11,51
2493,16,8,10,56
2494,12,14,8,50
2495,14,5,15,47
2496,16,8,10,56
2497,17,7,10,58
2498,19,5,10,62
2499,17,3,14,54
2500,20,4,10,64
2501,13,7,14,46
2502,14,9,11,51
2503,12,10,12,46
2504,15,4,15,49
2505,17,8,9,59
2506,13,11,10,50
2507,19,5,10,62
2508,21,9,4,72
2509,13,8,13,47
2510,18,6,10,60
2511,20,6,8,66
2512,21,7,6,70
2513,15,10,9,55
2514,15,9,10,54
2515,18,4,12,58
2516,23,3,8,72
2517,12,6,16,42
2518,14,7,13,49
2519,13,12,9,51
2520,13,7,14,46
2521,16,8,10,56
2522,19,7,8,64
2523,15,6,13,51
2524,14,11,9,53
2525,16,4,14,52
2526,11,10,13,43
2527,19,5,10,62
2528,15,10,9,55
2529,14,9,11,51
2530,19,4,11,61
2531,14,8,12,50
2532,14,10,10,52
2533,18,9,7,63
2534,16,8,10,56
2535,13,8,13,47
2536,14,6,14,48
2537,17,7,10,58
2538,13,8,13,47
2539,16,12,6,60
2540,20,5,9,65
2541,16,5,13,53
2542,18,8,8,62
2543,14,11,9,53
2544,17,7,10,58
2545,14,11,9,53
2546,11,10,13,43
2547,16,9,9,57
2548,18,10,6,64
2549,13,12,9,51
2550,17,10,7,61
2551,17,11,6,62
2552,15,10,9,55
2553,15,7,12,52
2554,17,6,11,57
2555,17,7,10,58
2556,15,8,11,53
2557,18,6,10,60
2558,13,10,11,49
2559,18,7,9,61
2560,18,7,9,61
2561,16,6,12,54
2562,15,8,11,53
2563,11,9,14,42
2564,12,6,16,42
2565,18,7,9,61
2566,13,11,10,50
2567,16,8,10,56
2568,16,6,12,54
2569,15,7,12,52
2570,13,7,14,46
2571,19,4,11,61
2572,15,9,10,54
2573,19,11,4,68
2574,13,8,13,47
2575,13,11,10,50
2576,19,5,10,62
2577,16,5,13,53
2578,21,2,11,65
2579,12,10,12,46
2580,16,10,8,58
2581,19,11,4,68
2582,19,10,5,67
2583,20,8,6,68
2584,19,7,8,64
2585,13,10,11,49
2586,14,9,11,51
2587,17,6,11,57
2588,19,3,12,60
2589,12,4,18,40
2590,17,7,10,58
2591,17,6,11,57
2592,18,6,10,60
2593,16,6,12,54
2594,17,6,11,57
2595,21,8,5,71
2596,20,6,8,66
2597,18,8,8,62
2598,19,4,11,61
2599,9,10,15,37
2600,14,10,10,52
2601,18,5,11,59
2602,14,8,12,50
2603,18,5,11,59
2604,17,6,11,57
2605,18,5,11,59
2606,22,6,6,72
2607,17,8,9,59
2608,15,7,12,52
2609,17,7,10,58
2610,16,7,11,55
2611,11,7,16,40
2612,16,3,15,51
2613,17,9,8,60
2614,14,13,7,55
2615,17,7,10,58
2616,15,7,12,52
2617,17,7,10,58
2618,12,8,14,44
2619,12,11,11,47
2620,16,6,12,54
2621,20,6,8,66
2622,20,2,12,62
2623,14,9,11,51
2624,18,7,9,61
2625,14,9,11,51
2626,16,5,13,53
2627,21,6,7,69
2628,14,7,13,49
2629,15,6,13,51
